AS	Direction	Label	Number
SE	Up	annotated	596
SE	Down	annotated	462
SE	Up	unannotated	255
SE	Down	unannotated	152
FIVE	Up	annotated	397
FIVE	Down	annotated	375
FIVE	Up	unannotated	161
FIVE	Down	unannotated	167
THREE	Up	annotated	464
THREE	Down	annotated	381
THREE	Up	unannotated	250
THREE	Down	unannotated	167
MXE	Up	annotated	6
MXE	Down	annotated	2
MXE	Up	unannotated	0
MXE	Down	unannotated	1
RI	Up	annotated	240
RI	Down	annotated	103
RI	Up	unannotated	410
RI	Down	unannotated	172
MSE	Up	annotated	67
MSE	Down	annotated	59
MSE	Up	unannotated	93
MSE	Down	unannotated	22
AFE	Up	annotated	606
AFE	Down	annotated	614
AFE	Up	unannotated	303
AFE	Down	unannotated	294
ALE	Up	annotated	112
ALE	Down	annotated	143
ALE	Up	unannotated	56
ALE	Down	unannotated	61
