event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	ref_junction_a	ref_junction_b	ref_PSI	alt_junction_a	alt_junction_b	alt_PSI	dPSI	OR	p	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
FIVE_2287	FIVE@chr17@25784725-25785423@25784725-25785428	chr17:25785423-25785673	chr17:25785428-25785673	chr17:25784725-25785423	chr17:25784725-25785428	-	ENSMUSG00000061046	Haghl	annotated	0	274	0.0	83	47	0.6384615384615384	0.6384615384615384	0.0	1.0106400329519271e-52	2.7691536902882806e-49	Yes	0.0	0.0	0.0	0.43103448275862066	0.7254901960784313	1.0	0.04846263071582272
FIVE_5592	FIVE@chr6@86425203-86425450@86425070-86425450	chr6:86424962-86425203	chr6:86424962-86425070	chr6:86425203-86425450	chr6:86425070-86425450	+	ENSMUSG00000071337	Tia1	annotated	229	1162	0.16462976276060387	662	1136	0.3681868743047831	0.20355711154417921	0.3381813832802076	3.1514825603674764e-38	5.756708143604589e-35	Yes	0.3475409836065574	0.16988950276243095	0.0	0.38278388278388276	0.35194585448392557	0.37065052950075644	0.18911561675792837
FIVE_3891	FIVE@chr2@31151250-31151982@31151250-31152144	chr2:31151982-31152291	chr2:31152144-31152291	chr2:31151250-31151982	chr2:31151250-31152144	-	ENSMUSG00000087269	D330023K18Rik	annotated	805	398	0.6691604322527016	435	25	0.9456521739130435	0.27649174166034185	0.11624213019118582	2.3055105221279127e-37	3.1585494153152404e-34	Yes	0.925531914893617	0.8351254480286738	0.5407608695652174	0.989010989010989	0.9456521739130435	0.9032258064516129	0.26107130760115066
FIVE_3016	FIVE@chr19@60844294-60850554@60844294-60850959	chr19:60850554-60851074	chr19:60850959-60851074	chr19:60844294-60850554	chr19:60844294-60850959	-	ENSMUSG00000063698	Sfxn4	unannotated	88	706	0.11083123425692695	280	499	0.3594351732991014	0.24860393904217445	0.22213678672602186	2.4334751100570247e-32	2.667088720622499e-29	Yes	0.22727272727272727	0.13069908814589665	0.0	0.43820224719101125	0.34759358288770054	0.3309178743961353	0.04246842293408444
FIVE_1998	FIVE@chr16@20734969-20735117@20734773-20735117	chr16:20734686-20734969	chr16:20734686-20734773	chr16:20734969-20735117	chr16:20734773-20735117	+	ENSMUSG00000006958	Chrd	annotated	67	5	0.9305555555555556	7	85	0.07608695652173914	-0.8544685990338164	162.71428571428572	1.8435576553734163e-31	1.578309824029357e-28	Yes	0.8333333333333334	1.0		0.04878048780487805	0.13636363636363635	0.06896551724137931	0.04412486350496517
FIVE_7185	FIVE@chr9@96611499-96631364@96611499-96631398	chr9:96631364-96631617	chr9:96631398-96631617	chr9:96611499-96631364	chr9:96611499-96631398	-	ENSMUSG00000032413	Rasa2	annotated	340	97	0.7780320366132724	451	1	0.9977876106194691	0.21975557400619672	0.0077719615059318355	2.0160891912783756e-31	1.578309824029357e-28	Yes	0.9365079365079365	0.9446808510638298	0.0	1.0	0.9939393939393939	1.0	0.3583805943966718
FIVE_736	FIVE@chr11@75178387-75178612@75178387-75178630	chr11:75178612-75178924	chr11:75178630-75178924	chr11:75178387-75178612	chr11:75178387-75178630	-	ENSMUSG00000038268	Ovca2	annotated	324	137	0.702819956616052	317	4	0.9875389408099688	0.28471898419391684	0.02984181077160423	3.315373074414959e-30	2.271030555974247e-27	Yes	0.8811881188118812	1.0	0.4369369369369369	0.9652173913043478	1.0	1.0	0.33500115314185325
FIVE_4884	FIVE@chr5@112393583-112393785@112393583-112394718	chr5:112393785-112395052	chr5:112394718-112395052	chr5:112393583-112393785	chr5:112393583-112394718	-	ENSMUSG00000029348	Asphd2	unannotated	70	71	0.49645390070921985	159	0	1.0	0.5035460992907801	0.0	1.7465291452779797e-29	1.06344219068037e-26	Yes	0.7916666666666666	1.0	0.21428571428571427	1.0	1.0	1.0	0.2939620109494172
FIVE_1980	FIVE@chr16@18625441-18626088@18625441-18629651	chr16:18626088-18629661	chr16:18629651-18629661	chr16:18625441-18626088	chr16:18625441-18629651	-	ENSMUSG00000072214	Septin5	annotated	1260	1310	0.490272373540856	1113	578	0.6581904198698995	0.16791804632904345	0.4994958951461904	2.2407385990089684e-27	1.0232706268807622e-24	Yes	0.4166666666666667	0.6067839195979899	0.4521575984990619	0.6666666666666666	0.5964912280701754	0.6794701986754967	0.1002107695443749
FIVE_5658	FIVE@chr7@101858744-101859090@101858744-101859097	chr7:101859090-101859232	chr7:101859097-101859232	chr7:101858744-101859090	chr7:101858744-101859097	-	ENSMUSG00000001827	Folr1	unannotated	78	417	0.15757575757575756	0	500	0.0	-0.15757575757575756	inf	8.14800211196849e-26	3.3135421217911204e-23	Yes	0.0	0.0	0.26804123711340205	0.0	0.0	0.0	0.42264973081037416
FIVE_6409	FIVE@chr8@11619297-11623697@11619297-11628439	chr8:11623697-11628530	chr8:11628439-11628530	chr8:11619297-11623697	chr8:11619297-11628439	-	ENSMUSG00000031508	Ankrd10	annotated	248	170	0.5933014354066986	445	55	0.89	0.29669856459330146	0.18030403172504958	8.46525359581673e-26	3.3135421217911204e-23	Yes	0.648	0.908256880733945	0.3695652173913043	0.7829457364341085	0.9385964912280702	0.9221789883268483	0.26008671042268794
