event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	ref_junction_a	ref_junction_b	ref_PSI	alt_junction_a	alt_junction_b	alt_PSI	dPSI	OR	p	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
THREE_8715	THREE@chr7@45383184-45383804@45380818-45383804	chr7:45380717-45383184	chr7:45380717-45380818	chr7:45383184-45383804	chr7:45380818-45383804	-	ENSMUSG00000063511	Snrnp70	annotated	1509	1086	0.5815028901734104	2147	635	0.771746944644141	0.19024405447073056	0.4109614597781306	1.1075450099635763e-50	2.720868907810519e-47	Yes	0.6661585365853658	0.637852593266606	0.44166666666666665	0.8116089613034623	0.6988795518207283	0.783609576427256	0.10549654840406258
THREE_4347	THREE@chr1@151354759-151355167@151354759-151356129	chr1:151355167-151356236	chr1:151356129-151356236	chr1:151354759-151355167	chr1:151354759-151356129	+	ENSMUSG00000023150	Ivns1abp	annotated	560	3387	0.1418799087914872	731	1764	0.29298597194388776	0.15110606315240055	0.39898267173472884	3.758312155701607e-48	6.92469014688021e-45	Yes	0.14453961456102785	0.14624505928853754	0.13578595317725753	0.24019607843137256	0.3504043126684636	0.2934898612593383	0.03965315909304223
THREE_4756	THREE@chr1@91250437-91254215@91250437-91254263	chr1:91254215-91254393	chr1:91254263-91254393	chr1:91250437-91254215	chr1:91250437-91254263	+	ENSMUSG00000034343	Ube2f	annotated	147	32	0.8212290502793296	30	172	0.1485148514851485	-0.672714198794181	26.3375	2.032295078014193e-42	2.9956029449929204e-39	Yes	0.75	0.7368421052631579	1.0	0.2835820895522388	0.08	0.08181818181818182	0.003998794155665218
THREE_4757	THREE@chr1@91250437-91254260@91250437-91254263	chr1:91254260-91254393	chr1:91254263-91254393	chr1:91250437-91254260	chr1:91250437-91254263	+	ENSMUSG00000034343	Ube2f	annotated	820	32	0.9624413145539906	474	172	0.7337461300309598	-0.22869518452303084	9.298523206751055	9.247523900000266e-39	1.1359041857166994e-35	Yes	0.9047619047619048	0.9609375	1.0	0.8048780487804879	0.8145161290322581	0.6340579710144928	0.055057873784764184
THREE_8417	THREE@chr7@19698473-19699011@19698272-19699011	chr7:19698188-19698473	chr7:19698188-19698272	chr7:19698473-19699011	chr7:19698272-19699011	-	ENSMUSG00000002985	Apoe	annotated	17	83	0.17	100	2	0.9803921568627451	0.810392156862745	0.004096385542168675	1.3597802390420912e-36	1.431654337391459e-33	Yes	1.0	0.5833333333333334	0.0	1.0	0.6666666666666666	1.0	0.3413030830627498
THREE_5702	THREE@chr3@115886418-115887776@115886380-115887776	chr3:115886214-115886418	chr3:115886214-115886380	chr3:115886418-115887776	chr3:115886380-115887776	-	ENSMUSG00000054426	A930005H10Rik	unannotated	0	168	0.0	103	101	0.5049019607843137	0.5049019607843137	0.0	1.7911476217572009e-34	1.6500947465438211e-31	Yes	0.0	0.0	0.0	0.7253521126760564	0.0	0.0	0.42264973081037416
THREE_3990	THREE@chr19@41955596-41955823@41955573-41955823	chr19:41955419-41955596	chr19:41955419-41955573	chr19:41955596-41955823	chr19:41955573-41955823	-	ENSMUSG00000025159	Mms19	annotated	0	820	0.0	76	472	0.1386861313868613	0.1386861313868613	0.0	2.2725190398040399e-32	1.8609405914839747e-29	Yes	0.0	0.0	0.0	0.1746031746031746	0.10526315789473684	0.12653061224489795	0.0221622235613307
THREE_7976	THREE@chr7@105565951-105566051@105565647-105566051	chr7:105565533-105565951	chr7:105565533-105565647	chr7:105565951-105566051	chr7:105565647-105566051	-	ENSMUSG00000037032	Apbb1	annotated	546	1478	0.26976284584980237	220	1612	0.12008733624454149	-0.14967550960526088	2.70682740804527	4.254780505769838e-32	3.135773232752371e-29	Yes	0.189010989010989	0.17679558011049723	0.35477582846003897	0.1416803953871499	0.14673913043478262	0.09334889148191365	0.18065347226833908
THREE_5817	THREE@chr3@32514454-32515284@32514454-32517029	chr3:32515284-32517139	chr3:32517029-32517139	chr3:32514454-32515284	chr3:32514454-32517029	+	ENSMUSG00000027667	Zfp639	annotated	690	117	0.8550185873605948	652	1	0.998468606431853	0.1434500190712582	0.009045147081956898	9.209405772718565e-31	6.170301867721439e-28	Yes	1.0	0.9077809798270894	0.5355191256830601	1.0	0.9957264957264957	1.0	0.3240908444574675
THREE_6255	THREE@chr4@129618362-129618492@129617916-129618492	chr4:129617664-129618362	chr4:129617664-129617916	chr4:129618362-129618492	chr4:129617916-129618492	-	ENSMUSG00000040795	Iqcc	annotated	505	136	0.7878315132605305	173	223	0.43686868686868685	-0.3509628263918436	4.786424685481129	1.5431090931197872e-30	9.477261680244027e-28	Yes	0.8516129032258064	0.5337078651685393	0.9025974025974026	0.3409090909090909	0.42342342342342343	0.5294117647058824	0.08495013728835493
THREE_5703	THREE@chr3@115886418-115887776@115886375-115887776	chr3:115886214-115886418	chr3:115886214-115886375	chr3:115886418-115887776	chr3:115886375-115887776	-	ENSMUSG00000054426	A930005H10Rik	unannotated	0	197	0.0	103	168	0.3800738007380074	0.3800738007380074	0.0	1.3177874345173307e-29	6.937209565994805e-27	Yes	0.0	0.0	0.0	0.6094674556213018	0.0	0.0	0.42264973081037416
THREE_4607	THREE@chr1@55228692-55234377@55228692-55234929	chr1:55234377-55235129	chr1:55234929-55235129	chr1:55228692-55234377	chr1:55228692-55234929	+	ENSMUSG00000097649	Gm10561	annotated	2667	1961	0.5762748487467588	2241	967	0.69856608478803	0.12229123604127112	0.5868539601206116	1.9692701334753385e-28	9.675680589142164e-26	Yes	0.5900383141762452	0.5960945529290853	0.5439560439560439	0.6958568738229756	0.6646341463414634	0.7217194570135747	0.007307042641425679
THREE_9020	THREE@chr8@111658441-111666061@111658441-111666078	chr8:111666061-111666204	chr8:111666078-111666204	chr8:111658441-111666061	chr8:111658441-111666078	+	ENSMUSG00000055835	Zfp1	annotated	115	79	0.5927835051546392	2	108	0.01818181818181818	-0.574601686972821	78.60759493670886	7.885002005311007e-28	3.4183802811260073e-25	Yes	0.0	1.0	0.6666666666666666	0.08	0.0	0.0	0.2130046465869436
THREE_7054	THREE@chr5@143090929-143092995@143090758-143092995	chr5:143090120-143090929	chr5:143090120-143090758	chr5:143090929-143092995	chr5:143090758-143092995	-	ENSMUSG00000045078	Rnf216	annotated	117	97	0.5467289719626168	51	348	0.12781954887218044	-0.4189094230904364	8.230442692540933	8.981013590669057e-28	3.677226120179497e-25	Yes	0.49019607843137253	0.5657894736842105	0.6666666666666666	0.018018018018018018	0.23148148148148148	0.13333333333333333	0.005607832676932541
THREE_6630	THREE@chr4@47383994-47393247@47383994-47393259	chr4:47393247-47393489	chr4:47393259-47393489	chr4:47383994-47393247	chr4:47383994-47393259	+	ENSMUSG00000007613	Tgfbr1	annotated	333	122	0.7318681318681318	130	236	0.3551912568306011	-0.3766768750375307	4.955107187894074	1.24414912568696e-27	4.825988977006787e-25	Yes	0.55	0.6788321167883211	0.8486238532110092	0.5915492957746479	0.3826086956521739	0.24444444444444444	0.09909774287737003
THREE_221	THREE@chr10@62434614-62435459@62434577-62435459	chr10:62434395-62434614	chr10:62434395-62434577	chr10:62434614-62435459	chr10:62434577-62435459	-	ENSMUSG00000020079	Supv3l1	unannotated	583	6	0.9898132427843803	457	101	0.8189964157706093	-0.170816827013771	21.474471188913203	1.4609321293163004e-26	5.127176091933873e-24	Yes	0.9558823529411765	1.0	1.0	0.8373702422145328	0.797979797979798	0.8	0.0009602306200382423
THREE_9433	THREE@chr9@107543615-107544151@107543615-107544177	chr9:107544151-107544287	chr9:107544177-107544287	chr9:107543615-107544151	chr9:107543615-107544177	+	ENSMUSG00000010057	Nprl2	annotated	1332	204	0.8671875	1018	22	0.9788461538461538	0.11165865384615381	0.14110713047497978	2.1602288405469845e-26	7.236766615832397e-24	Yes	0.9415584415584416	0.969309462915601	0.7921146953405018	0.9697732997481109	0.9748201438848921	0.9917808219178083	0.29227526460999637
THREE_9427	THREE@chr9@106906780-106907230@106906714-106907230	chr9:106906633-106906780	chr9:106906633-106906714	chr9:106906780-106907230	chr9:106906714-106907230	-	ENSMUSG00000039716	Dock3	annotated	22	64	0.2558139534883721	132	12	0.9166666666666666	0.6608527131782945	0.03125	1.3631221964256048e-25	4.367917646807264e-23	Yes	0.7857142857142857		0.0	0.8648648648648649	0.86	1.0	0.4123682124091362
THREE_2506	THREE@chr15@79905600-79906341@79905600-79906380	chr15:79906341-79906602	chr15:79906380-79906602	chr15:79905600-79906341	chr15:79905600-79906380	+	ENSMUSG00000009585	Apobec3	annotated	364	126	0.7428571428571429	325	5	0.9848484848484849	0.24199134199134198	0.044444444444444446	3.034845506107459e-25	9.319504741671655e-23	Yes	1.0	1.0	0.5298507462686567	1.0	1.0	0.9664429530201343	0.45124418788763815
THREE_9325	THREE@chr8@85020050-85024178@85019973-85024178	chr8:85019760-85020050	chr8:85019760-85019973	chr8:85020050-85024178	chr8:85019973-85024178	-	ENSMUSG00000052456	Asna1	unannotated	34	163	0.17258883248730963	57	8	0.8769230769230769	0.7043342444357673	0.029275643095468734	5.628417247977012e-25	1.659257404703623e-22	Yes	0.4634146341463415	0.24193548387096775	0.0	1.0	0.9375	0.6111111111111112	0.02745771114294282
THREE_1299	THREE@chr12@111793699-111794337@111793699-111795548	chr12:111794337-111795678	chr12:111795548-111795678	chr12:111793699-111794337	chr12:111793699-111795548	+	ENSMUSG00000021288	Klc1	unannotated	587	165	0.7805851063829787	815	44	0.9487776484284052	0.16819254204542644	0.19206543967280162	1.9287402591076745e-24	5.264746559119838e-22	Yes	0.6804733727810651	0.8947368421052632	0.7549295774647887	0.9566473988439307	0.9803149606299213	0.9073359073359073	0.09974332864803183
