event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	ref_junction_a	ref_junction_b	ref_PSI	alt_junction_a	alt_junction_b	alt_PSI	dPSI	OR	p	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
ALE_2785	ALE@chr4@126186588-126202570@126194404-126202570	chr4:126186065-126186588	chr4:126193916-126194404	chr4:126186588-126202570	chr4:126194404-126202570	-	ENSMUSG00000043962	Thrap3	annotated	275	95	0.7432432432432432	123	274	0.30982367758186397	-0.43341956566137924	6.4484381685922125	3.956471052026212e-34	5.4876253491603565e-31	Yes	0.8613861386138614	0.5876288659793815	0.9866666666666667	0.2971014492753623	0.33064516129032256	0.3037037037037037	0.0500435191558584
ALE_3153	ALE@chr5@64477232-64483576@64477232-64481984	chr5:64483576-64484055	chr5:64481984-64482207	chr5:64477232-64483576	chr5:64477232-64481984	+	ENSMUSG00000105352	C030018K13Rik	unannotated	251	88	0.7404129793510325	345	6	0.9829059829059829	0.2424930035549504	0.04960474308300395	3.2478811510943653e-23	2.2524055782839424e-20	Yes	0.9574468085106383	0.9285714285714286	0.3697478991596639	1.0	0.9655172413793104	0.9807692307692307	0.3518834767648124
ALE_3029	ALE@chr5@129860214-129862639@129860214-129861585	chr5:129862639-129864050	chr5:129861585-129861994	chr5:129860214-129862639	chr5:129860214-129861585	+	ENSMUSG00000025538	Sumf2	unannotated	1286	252	0.8361508452535761	930	41	0.9577754891864058	0.12162464393282968	0.22497866530124594	1.1483624326212512e-22	4.675781475923084e-20	Yes	0.9200968523002422	0.8975609756097561	0.6941176470588235	0.9483282674772037	0.9660194174757282	0.9610091743119266	0.23329600038555276
ALE_4279	ALE@chr9@67023441-67031029@67024565-67031029	chr9:67022590-67023441	chr9:67022593-67024565	chr9:67023441-67031029	chr9:67024565-67031029	-	ENSMUSG00000032366	Tpm1	annotated	287	185	0.6080508474576272	310	35	0.8985507246376812	0.290499877180054	0.17515257192676548	7.343689042898895e-22	2.546424175625192e-19	Yes	0.900709219858156	0.3825503355704698	0.5659340659340659	0.7307692307692307	0.9464285714285714	0.9483870967741935	0.22536422849466176
ALE_1124	ALE@chr14@74757143-74775581@74765247-74775581	chr14:74754675-74757143	chr14:74763323-74765247	chr14:74757143-74775581	chr14:74765247-74775581	-	ENSMUSG00000068015	Lrch1	annotated	23	40	0.36507936507936506	95	0	1.0	0.6349206349206349	0.0	1.9385142639481144e-21	5.974931742435633e-19	Yes	1.0	0.16666666666666666		1.0	1.0	1.0	0.5000000000000006
ALE_3586	ALE@chr7@141998722-142002475@141998722-141998920	chr7:142002475-142004248	chr7:141998920-141999462	chr7:141998722-142002475	chr7:141998722-141998920	+	ENSMUSG00000053046	Brsk2	annotated	42	63	0.4	3	231	0.01282051282051282	-0.3871794871794872	51.333333333333336	2.9362887185534415e-21	7.404786277515679e-19	Yes	0.64	0.325		0.0	0.0	0.046153846153846156	0.20416169036086462
ALE_659	ALE@chr12@78965173-78977761@78965176-78977761	chr12:78961800-78965173	chr12:78964849-78965176	chr12:78965173-78977761	chr12:78965176-78977761	-	ENSMUSG00000046157	Tmem229b	annotated	27	130	0.17197452229299362	76	26	0.7450980392156863	0.5731235169226927	0.07105263157894737	1.2392658394458658e-20	2.8647695321856935e-18	Yes	0.16363636363636364	0.46153846153846156	0.0	0.5	0.8125	1.0	0.04770045864694303
ALE_2931	ALE@chr4@91253570-91263992@91260986-91263992	chr4:91251471-91253570	chr4:91258666-91260986	chr4:91253570-91263992	chr4:91260986-91263992	-	ENSMUSG00000008489	Elavl2	unannotated	96	128	0.42857142857142855	3	132	0.022222222222222223	-0.40634920634920635	33.0	2.4507671576204126e-20	4.856020068027875e-18	Yes	0.0	0.19672131147540983	0.5957446808510638	0.0	0.046875	0.0	0.2915001845212152
ALE_4466	ALE@chrX@7724291-7725931@7724291-7725740	chrX:7725931-7726036	chrX:7725740-7725930	chrX:7724291-7725931	chrX:7724291-7725740	+	ENSMUSG00000039382	Wdr45	annotated	1031	135	0.8842195540308748	755	10	0.9869281045751634	0.10270855054428862	0.10115280843757665	2.2896937084483408e-20	4.856020068027875e-18	Yes	0.8388278388278388	0.9234972677595629	0.8804554079696395	1.0	0.9711538461538461	0.984	0.03945903002556593
ALE_1126	ALE@chr14@76533246-76549982@76540054-76549982	chr14:76532814-76533246	chr14:76539570-76540054	chr14:76533246-76549982	chr14:76540054-76549982	-	ENSMUSG00000052584	Serp2	annotated	320	0	1.0	128	39	0.7664670658682635	-0.23353293413173648	inf	2.8594923773919894e-20	4.957644909303362e-18	Yes	1.0	1.0	1.0	0.7538461538461538	0.7076923076923077	0.8918918918918919	0.06004436618831927
