event_id	pos_id	mse_n	exon	intron	strand	gene_id	gene_name	label	ref_junction	ref_PSI	alt_junction	alt_PSI	dPSI	OR_junction	p_junction	p_maximum	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
MSE_1823	MSE@chr16@91858209-91858375;91861194-91861239@91854655-91863257	2	chr16:91858209-91858375;chr16:91861194-91861239	chr16:91854655-91858209;chr16:91858375-91861194;chr16:91861239-91863257;chr16:91854655-91863257	+	ENSMUSG00000022957	Itsn1	annotated	471;549;693;113	0.8347953216374269	630;568;786;4	0.9939879759519038	0.15919265431447693	0.026464391066160976;0.03421413436370435;0.03120988988718503	1.6526661404305878e-33;1.2575914588192626e-27;3.0454045512067096e-30	1.2575914588192626e-27	6.4262923545664314e-24	Yes	0.9393939393939394	0.975	0.4088050314465409	1.0	0.9741379310344828	1.0	0.35766446141030245
MSE_6583	MSE@chrX@8201658-8201672;8203026-8203043@8201569-8203159	2	chrX:8201658-8201672;chrX:8203026-8203043	chrX:8201569-8201658;chrX:8201672-8203026;chrX:8203043-8203159;chrX:8201569-8203159	-	ENSMUSG00000031169	Porcn	annotated	205;141;400;1001	0.19898639637236595	314;280;530;526	0.4159881569207994	0.21700176054843343	0.34306457873336854;0.26461395747110034;0.39658454752794375	4.86083550610542e-25;8.66209289400333e-32;7.894167383558194e-28	4.86083550610542e-25	1.2419434718099346e-21	Yes	0.2649402390438247	0.28653295128939826	0.05930318754633061	0.3417593528816987	0.3617021276595745	0.5267857142857143	0.09392519738393093
MSE_3277	MSE@chr2@12401025-12401076;12403998-12404168@12400137-12405860	2	chr2:12401025-12401076;chr2:12403998-12404168	chr2:12400137-12401025;chr2:12401076-12403998;chr2:12404168-12405860;chr2:12400137-12405860	-	ENSMUSG00000026767	Mindy3	annotated	332;248;255;72	0.7944814462416746	328;256;280;0	1.0	0.2055185537583254	0.0;0.0;0.0	1.5421177881169526e-20;8.083737182125128e-21;1.2987502111629992e-21	1.5421177881169526e-20	1.313370316212938e-17	Yes	0.7337883959044369	0.9666666666666667	0.6006493506493507	1.0	1.0	1.0	0.16128759327618233
MSE_4287	MSE@chr4@91254141-91254179;91260761-91260986@91253570-91263992	2	chr4:91254141-91254179;chr4:91260761-91260986	chr4:91253570-91254141;chr4:91254179-91260761;chr4:91260986-91263992;chr4:91253570-91263992	-	ENSMUSG00000008489	Elavl2	unannotated	8;68;128;96	0.4146341463414634	34;92;132;3	0.9662921348314607	0.5516579884899973	0.007352941176470588;0.02309782608695652;0.030303030303030304	1.3923544829132965e-21;6.4184863670546795e-22;2.4507671576204126e-20	2.4507671576204126e-20	1.7890600250629013e-17	Yes	1.0	0.7372262773722628	0.18446601941747573	1.0	0.9333333333333333	1.0	0.29526381193110124
MSE_5504	MSE@chr7@51936554-51936617;51943650-51943791;51953194-51953301@51926544-51993291	3	chr7:51936554-51936617;chr7:51943650-51943791;chr7:51953194-51953301	chr7:51926544-51936554;chr7:51936617-51943650;chr7:51943791-51953194;chr7:51953301-51993291;chr7:51926544-51993291	+	ENSMUSG00000030498	Gas2	unannotated	129;113;153;91;76	0.6151898734177215	133;127;138;157;0	1.0	0.38481012658227853	0.0;0.0;0.0;0.0	3.6753500480781477e-20;5.055737776956038e-21;9.553600923888742e-19;3.2383863658973496e-27	9.553600923888742e-19	4.881890072107147e-16	Yes	1.0	1.0	0.24938271604938272	1.0	1.0	1.0	0.42264973081037427
MSE_4540	MSE@chr5@21226244-21226348;21226774-21226833@21221295-21228024	2	chr5:21226244-21226348;chr5:21226774-21226833	chr5:21221295-21226244;chr5:21226348-21226774;chr5:21226833-21228024;chr5:21221295-21228024	+	ENSMUSG00000039934	Gsap	annotated	29;809;843;75	0.8819517313746065	41;867;787;0	1.0	0.11804826862539353	0.0;0.0;0.0	1.7337161797046434e-17;1.3127158665529518e-23;2.91901492242508e-21	1.7337161797046434e-17	5.906193118860486e-15	Yes	0.9372822299651568	0.9663341645885287	0.6943396226415094	1.0	1.0	1.0	0.26038541859701103
MSE_4300	MSE@chr4@95800557-95800664;95812108-95812169;95821978-95822125;95837585-95837659;95844073-95844193@95769529-95849582	5	chr4:95800557-95800664;chr4:95812108-95812169;chr4:95821978-95822125;chr4:95837585-95837659;chr4:95844073-95844193	chr4:95769529-95800557;chr4:95800664-95812108;chr4:95812169-95821978;chr4:95822125-95837585;chr4:95837659-95844073;chr4:95844193-95849582;chr4:95769529-95849582	+	ENSMUSG00000028573	Fggy	unannotated	310;337;329;375;371;255;69	0.8268506900878294	281;316;236;323;290;292;0	1.0	0.1731493099121706	0.0;0.0;0.0;0.0;0.0;0.0	1.6952757002448337e-18;5.609021563635922e-19;1.2979036831906014e-15;4.038564778347912e-18;8.700516318151911e-17;1.2170795832335905e-21	1.2979036831906014e-15	3.4906778005810385e-13	Yes	1.0	1.0	0.6532663316582915	1.0	1.0	1.0	0.42264973081037394
MSE_4299	MSE@chr4@95800557-95800664;95812108-95812169;95821978-95822125;95837585-95837659@95769529-95849582	4	chr4:95800557-95800664;chr4:95812108-95812169;chr4:95821978-95822125;chr4:95837585-95837659	chr4:95769529-95800557;chr4:95800664-95812108;chr4:95812169-95821978;chr4:95822125-95837585;chr4:95837659-95849582;chr4:95769529-95849582	+	ENSMUSG00000028573	Fggy	unannotated	310;337;329;375;53;69	0.8027444253859348	281;316;236;323;49;0	1.0	0.19725557461406518	0.0;0.0;0.0;0.0;0.0	1.6952757002448337e-18;5.609021563635922e-19;1.2979036831906014e-15;4.038564778347912e-18;2.8369069991704755e-14	2.8369069991704755e-14	6.3028672894613606e-12	Yes	1.0	1.0	0.619625137816979	1.0	1.0	1.0	0.4226497308103745
MSE_5276	MSE@chr7@141998920-141999014;142000842-142000889@141998722-142002475	2	chr7:141998920-141999014;chr7:142000842-142000889	chr7:141998722-141998920;chr7:141999014-142000842;chr7:142000889-142002475;chr7:141998722-142002475	+	ENSMUSG00000053046	Brsk2	annotated	63;21;23;42	0.4592274678111588	231;117;62;3	0.9785202863961814	0.5192928185850225	0.01948051948051948;0.01282051282051282;0.026497695852534562	2.9362887185534415e-21;5.366365270185717e-22;1.0604368203489656e-13	1.0604368203489656e-13	2.1675328607932857e-11	Yes	0.4	0.49019607843137253		1.0	1.0	0.9274193548387096	0.018866717651246333
MSE_1713	MSE@chr16@3745777-3745957;3746422-3746495@3744767-3746771	2	chr16:3745777-3745957;chr16:3746422-3746495	chr16:3744767-3745777;chr16:3745957-3746422;chr16:3746495-3746771;chr16:3744767-3746771	+	ENSMUSG00000022529	Zfp263	unannotated	238;266;278;46	0.85	237;263;303;0	1.0	0.15000000000000002	0.0;0.0;0.0	1.5433035854143874e-13;1.680146472183097e-13;1.2697220705757876e-14	1.680146472183097e-13	3.1798327677243056e-11	Yes	1.0	1.0	0.6497461928934011	1.0	1.0	1.0	0.4226497308103745
MSE_4749	MSE@chr6@113709460-113709643;113709822-113709919@113707393-113710041	2	chr6:113709460-113709643;chr6:113709822-113709919	chr6:113707393-113709460;chr6:113709643-113709822;chr6:113709919-113710041;chr6:113707393-113710041	+	ENSMUSG00000056952	Tatdn2	unannotated	547;162;201;81	0.7892454466608846	259;105;194;0	1.0	0.2107545533391154	0.0;0.0;0.0	1.7536783613159058e-13;1.9895936790397324e-15;2.559268757492207e-21	1.7536783613159058e-13	3.2004630094015284e-11	Yes	1.0	0.9220779220779222	0.5765407554671967	1.0	1.0	1.0	0.3276972905347909
MSE_4306	MSE@chr4@95812108-95812169;95821978-95822125;95837585-95837659;95844073-95844193@95769529-95849582	4	chr4:95812108-95812169;chr4:95821978-95822125;chr4:95837585-95837659;chr4:95844073-95844193	chr4:95769529-95812108;chr4:95812169-95821978;chr4:95822125-95837585;chr4:95837659-95844073;chr4:95844193-95849582;chr4:95769529-95849582	+	ENSMUSG00000028573	Fggy	unannotated	45;329;375;371;255;69	0.7994186046511628	40;236;323;290;292;0	1.0	0.20058139534883723	0.0;0.0;0.0;0.0;0.0	2.035914962255884e-13;1.2979036831906014e-15;4.038564778347912e-18;8.700516318151911e-17;1.2170795832335905e-21	2.035914962255884e-13	3.587422571423299e-11	Yes	1.0	1.0	0.642116182572614	1.0	1.0	1.0	0.42264973081037427
MSE_2646	MSE@chr19@55387189-55387209;55391784-55391868@55381019-55498511	2	chr19:55387189-55387209;chr19:55391784-55391868	chr19:55381019-55387189;chr19:55387209-55391784;chr19:55391868-55498511;chr19:55381019-55498511	+	ENSMUSG00000024983	Vti1a	unannotated	56;46;532;5	0.9768875192604006	26;22;588;65	0.7653429602888087	-0.21154455897159197	28.0;27.181818181818183;11.761904761904763	1.4581992747019082e-15;3.087386510304299e-14;1.3089269434073532e-12	1.3089269434073532e-12	2.090192712753617e-10	Yes	0.8760330578512396	1.0	1.0	0.9369747899159664	1.0	0.5599022004889976	0.4588683715284979
MSE_5021	MSE@chr6@83979847-83979909;83981684-83981785@83976350-83983976	2	chr6:83979847-83979909;chr6:83981684-83981785	chr6:83976350-83979847;chr6:83979909-83981684;chr6:83981785-83983976;chr6:83976350-83983976	+	ENSMUSG00000030016	Zfp638	annotated	16;93;98;2	0.971830985915493	0;43;31;41	0.3756345177664975	-0.5961964681489955	inf;44.33720930232558;64.80645161290323	1.3945500206434685e-12;1.9020480266294425e-14;1.5747542474235108e-17	1.3945500206434685e-12	2.1594395774206436e-10	Yes	0.7777777777777778	1.0		0.4642857142857143	0.5324675324675325	0.21739130434782608	0.06361425072984991
MSE_820	MSE@chr12@86688212-86688286;86688902-86689283@86687022-86690858	2	chr12:86688212-86688286;chr12:86688902-86689283	chr12:86687022-86688212;chr12:86688286-86688902;chr12:86689283-86690858;chr12:86687022-86690858	+	ENSMUSG00000021256	Vash1	unannotated	213;229;187;49	0.8105670103092785	179;208;248;0	1.0	0.18943298969072153	0.0;0.0;0.0	1.6889278110148333e-12;2.1979351273009245e-13;3.0050340933313814e-17	1.6889278110148333e-12	2.4658346040816565e-10	Yes	1.0	0.9166666666666666	0.5020746887966805	1.0	1.0	1.0	0.335268929297844
MSE_2518	MSE@chr19@26759878-26759931;26770938-26771043@26752041-26771508	2	chr19:26759878-26759931;chr19:26770938-26771043	chr19:26752041-26759878;chr19:26759931-26770938;chr19:26771043-26771508;chr19:26752041-26771508	+	ENSMUSG00000024921	Smarca2	annotated	85;79;408;83	0.6967113276492083	186;126;570;20	0.9363057324840764	0.23959440483486816	0.11011789091851276;0.15108051252629565;0.17247939124920736	4.671413256726697e-18;1.9196620519505318e-12;3.092636829163221e-14	1.9196620519505318e-12	2.7248536348520047e-10	Yes	0.7087378640776699	0.8526315789473684	0.5545454545454546	0.946236559139785	0.8888888888888888	0.9672131147540983	0.10839746794146028
MSE_4270	MSE@chr4@81368686-81368757;81369565-81369727@81366015-81377964	2	chr4:81368686-81368757;chr4:81369565-81369727	chr4:81366015-81368686;chr4:81368757-81369565;chr4:81369727-81377964;chr4:81366015-81377964	-	ENSMUSG00000028402	Mpdz	unannotated	97;103;112;42	0.7123287671232876	180;225;138;1	0.9945054945054945	0.2821767273822069	0.012830687830687831;0.0108994708994709;0.01932367149758454	2.874841651520363e-16;3.302957696273693e-18;2.5329519366018595e-12	2.5329519366018595e-12	3.498211998928514e-10	Yes	1.0	1.0	0.17105263157894737	1.0	0.9868421052631579	1.0	0.4288116906411196
MSE_4928	MSE@chr6@38554980-38558075;38559204-38559304;38565655-38565722;38568847-38568917@38551908-38570510	4	chr6:38554980-38558075;chr6:38559204-38559304;chr6:38565655-38565722;chr6:38568847-38568917	chr6:38551908-38554980;chr6:38558075-38559204;chr6:38559304-38565655;chr6:38565722-38568847;chr6:38568917-38570510;chr6:38551908-38570510	+	ENSMUSG00000029823	Luc7l2	annotated	134;4;52;158;56;589	0.12063302478351748	146;65;156;281;122;236	0.39487179487179486	0.27423877008827735	0.367746586971184;0.024657176439858954;0.13355970571590267;0.22529288437486783;0.18391828328091514	2.943859446544954e-12;2.6776335990050993e-28;4.010121195239632e-34;6.012813141565072e-34;6.416044777021624e-23	2.943859446544954e-12	3.958716255748609e-10	Yes	0.16793893129770993	0.12175015852885225	0.09131602506714413	0.28846153846153844	0.438943894389439	0.42961165048543687	0.01973757533771302
MSE_377	MSE@chr11@20692465-20692588;20696751-20698373@20686198-20703711	2	chr11:20692465-20692588;chr11:20696751-20698373	chr11:20686198-20692465;chr11:20692588-20696751;chr11:20698373-20703711;chr11:20686198-20703711	-	ENSMUSG00000049659	Aftph	unannotated	477;70;406;56	0.8501338090990187	551;105;374;3	0.9913378248315688	0.14120401573255015	0.04637671765620949;0.03571428571428571;0.05815508021390375	7.384974104371832e-15;4.920847041144792e-15;3.3443721107614617e-12	3.3443721107614617e-12	4.168229630729529e-10	Yes	1.0	1.0	0.5213675213675214	0.967391304347826	1.0	1.0	0.4498914812339249
MSE_378	MSE@chr11@20692465-20692588;20698313-20698373@20686198-20703711	2	chr11:20692465-20692588;chr11:20698313-20698373	chr11:20686198-20692465;chr11:20692588-20698313;chr11:20698373-20703711;chr11:20686198-20703711	-	ENSMUSG00000049659	Aftph	unannotated	477;228;406;56	0.8686473807662236	551;265;374;3	0.9924937447873228	0.12384636402109916	0.04637671765620949;0.046091644204851755;0.05815508021390375	7.384974104371832e-15;3.133004047159693e-14;3.3443721107614617e-12	3.3443721107614617e-12	4.168229630729529e-10	Yes	1.0	1.0	0.5658914728682171	0.9724770642201835	1.0	1.0	0.4479309474569891
MSE_3485	MSE@chr2@29710156-29710308;29719593-29719850@29707400-29722224	2	chr2:29710156-29710308;chr2:29719593-29719850	chr2:29707400-29710156;chr2:29710308-29719593;chr2:29719850-29722224;chr2:29707400-29722224	+	ENSMUSG00000039844	Rapgef1	annotated	32;21;38;264	0.10305775764439411	67;43;149;74	0.5384615384615385	0.4354037808171444	0.13387607417458164;0.136892177589852;0.0714866788692292	1.5454370149648944e-16;4.077514977775486e-12;9.852218080992458e-39	4.077514977775486e-12	4.960976556293509e-10	Yes	0.1326530612244898	0.1780821917808219	0.0	0.4482758620689655	0.5327868852459016	0.6270270270270271	0.004353116845972974
MSE_4304	MSE@chr4@95812108-95812169;95821978-95822125@95800664-95837585	2	chr4:95812108-95812169;chr4:95821978-95822125	chr4:95800664-95812108;chr4:95812169-95821978;chr4:95822125-95837585;chr4:95800664-95837585	+	ENSMUSG00000028573	Fggy	unannotated	337;329;375;69	0.8341346153846154	316;236;323;3	0.9898190045248869	0.1556843891402715	0.04636763896532746;0.06061164333087694;0.050477857046708846	2.7104205113088483e-15;4.38367930936064e-12;2.6510230498645294e-14	4.38367930936064e-12	5.209442156007644e-10	Yes	0.945619335347432	1.0	0.6828859060402684	0.9827586206896551	0.9870689655172413	1.0	0.36510037580070737
