event_id	pos_id	exon_a	exon_b	intron_a	intron_b	strand	gene_id	gene_name	label	ref_junction_a	ref_junction_b	ref_PSI	alt_junction_a	alt_junction_b	alt_PSI	dPSI	OR	p	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
AFE_3924	AFE@chr14@30913193-30914653@30913193-30914049	chr14:30914653-30914807	chr14:30914049-30914129	chr14:30913193-30914653	chr14:30913193-30914049	-	ENSMUSG00000006522	Itih3	annotated	135	0	1.0	76	922	0.07615230460921844	-0.9238476953907816	inf	2.3197531707986127e-120	2.7199105927613737e-116	Yes	1.0	1.0	1.0	1.0	0.00646551724137931	1.0	0.42264973081037405
AFE_8601	AFE@chr19@7557564-7557932@7557802-7557932	chr19:7557459-7557564	chr19:7557485-7557802	chr19:7557564-7557932	chr19:7557802-7557932	+	ENSMUSG00000060675	Plaat3	annotated	3611	884	0.8033370411568409	2483	244	0.9105243857719105	0.10718734461506962	0.4014101318832313	3.8981192776727595e-36	2.2852724265356552e-32	Yes	0.8204857444561774	0.8812649164677804	0.7248931623931624	0.8805104408352669	0.9129287598944591	0.9322493224932249	0.14996080250121152
AFE_12204	AFE@chr3@96696531-96699420@96697195-96699420	chr3:96696384-96696531	chr3:96697083-96697195	chr3:96696531-96699420	chr3:96697195-96699420	+	ENSMUSG00000028101	Pias3	annotated	197	58	0.7725490196078432	84	205	0.2906574394463668	-0.4818915801614764	8.289203612479474	3.821340315439358e-30	1.120130379963162e-26	Yes	0.5875	0.6376811594202898	1.0	0.32075471698113206	0.3	0.26573426573426573	0.07321703743696704
AFE_5528	AFE@chr16@18324450-18347871@18324450-18343895	chr16:18347871-18348103	chr16:18343895-18344042	chr16:18324450-18347871	chr16:18324450-18343895	-	ENSMUSG00000013539	Tango2	annotated	181	169	0.5171428571428571	8	160	0.047619047619047616	-0.4695238095238095	21.420118343195266	1.0856304606496751e-29	2.5458034302234882e-26	Yes	0.38095238095238093	0.1	1.0	0.0	0.19047619047619047	0.0	0.24360460710056112
AFE_10784	AFE@chr2@35432632-35464165@35432632-35461195	chr2:35464165-35464372	chr2:35461195-35461449	chr2:35432632-35464165	chr2:35432632-35461195	-	ENSMUSG00000035778	Ggta1	unannotated	76	30	0.7169811320754716	3	108	0.02702702702702703	-0.6899541050484446	91.2	1.516878573348859e-29	2.925436318340616e-26	Yes	0.0	0.0	1.0	0.0	0.0	0.13043478260869565	0.47683215410355456
AFE_13551	AFE@chr5@112393583-112394718@112393583-112393785	chr5:112394718-112395052	chr5:112393785-112394717	chr5:112393583-112394718	chr5:112393583-112393785	-	ENSMUSG00000029348	Asphd2	unannotated	71	70	0.5035460992907801	0	159	0.0	-0.5035460992907801	inf	1.7465291452779797e-29	2.925436318340616e-26	Yes	0.20833333333333334	0.0	0.7857142857142857	0.0	0.0	0.0	0.2939620109494173
AFE_5538	AFE@chr16@18625441-18629651@18625441-18626088	chr16:18629651-18629704	chr16:18626088-18627778	chr16:18625441-18629651	chr16:18625441-18626088	-	ENSMUSG00000072214	Septin5	annotated	1310	1260	0.5097276264591439	578	1113	0.34180958013010054	-0.1679180463290434	2.0020184544406	2.2407385990089684e-27	2.919184452597795e-24	Yes	0.5833333333333334	0.39321608040201006	0.5478424015009381	0.3333333333333333	0.40350877192982454	0.3205298013245033	0.10021076954437497
AFE_744	AFE@chr10@83628833-83636085@83628833-83629678	chr10:83636085-83637443	chr10:83629678-83635159	chr10:83628833-83636085	chr10:83628833-83629678	-	ENSMUSG00000020263	Appl2	unannotated	1039	1286	0.44688172043010754	749	1769	0.29745830023828435	-0.1494234201918232	1.908185512253767	5.578157105196923e-27	6.540389205843392e-24	Yes	0.4165029469548134	0.38699186991869916	0.5989761092150171	0.32724719101123595	0.2886866059817945	0.28351012536162007	0.1217021955608705
AFE_2075	AFE@chr11@94043666-94048408@94044525-94048408	chr11:94043570-94043666	chr11:94044118-94044525	chr11:94043666-94048408	chr11:94044525-94048408	+	ENSMUSG00000020859	Spag9	annotated	442	1768	0.2	1069	2194	0.3276126264174073	0.12761262641740728	0.5130963517305893	1.0485437466277697e-25	1.0245146191008832e-22	Yes	0.2547864506627393	0.17140661029976942	0.2	0.3437826541274817	0.30054151624548736	0.3397328881469115	0.021607796331315543
AFE_5331	AFE@chr15@97726629-97731215@97726629-97730223	chr15:97731215-97731339	chr15:97730223-97730490	chr15:97726629-97731215	chr15:97726629-97730223	-	ENSMUSG00000022468	Endou	unannotated	46	34	0.575	0	136	0.0	-0.575	inf	1.7557334943730087e-25	1.58353655550181e-22	Yes	0.4	0.0	0.6666666666666666	0.0	0.0	0.0	0.20788196561866043
AFE_9135	AFE@chr1@193129530-193130044@193129530-193129957	chr1:193130044-193130272	chr1:193129957-193130043	chr1:193129530-193130044	chr1:193129530-193129957	-	ENSMUSG00000016181	Utp25	unannotated	235	84	0.7366771159874608	266	0	1.0	0.2633228840125392	0.0	3.0055818207305643e-25	2.5171747748618477e-22	Yes	1.0	1.0	0.5087719298245614	1.0	1.0	1.0	0.4226497308103745
AFE_1113	AFE@chr11@115624368-115628065@115624368-115627637	chr11:115628065-115628295	chr11:115627637-115628064	chr11:115624368-115628065	chr11:115624368-115627637	-	ENSMUSG00000020744	Slc25a19	annotated	700	105	0.8695652173913043	563	1	0.99822695035461	0.12866173296330563	0.011841326228537596	1.957585079300807e-24	1.530179003653464e-21	Yes	0.9827586206896551	0.9368421052631579	0.7572254335260116	1.0	0.9928057553956835	1.0	0.2654333892589179
AFE_3615	AFE@chr13@94156443-94174023@94173929-94174023	chr13:94156357-94156443	chr13:94173774-94173929	chr13:94156443-94174023	chr13:94173929-94174023	+	ENSMUSG00000045312	Lhfpl2	unannotated	73	28	0.7227722772277227	0	66	0.0	-0.7227722772277227	inf	2.4789282863008124e-24	1.8165896348048142e-21	Yes	0.0	0.0	1.0	0.0	0.0	0.0	0.42264973081037427
AFE_2330	AFE@chr12@111499609-111504985@111499609-111499984	chr12:111504985-111505129	chr12:111499984-111503008	chr12:111499609-111504985	chr12:111499609-111499984	-	ENSMUSG00000113029	Gm40578	unannotated	80	81	0.4968944099378882	0	112	0.0	-0.4968944099378882	inf	7.774063338986276e-24	5.361817214683181e-21	Yes	0.0	0.0	1.0	0.0	0.0	0.0	0.42264973081037427
AFE_15680	AFE@chr7@101300211-101310516@101300211-101301901	chr7:101310516-101310563	chr7:101301901-101302251	chr7:101300211-101310516	chr7:101300211-101301901	-	ENSMUSG00000047767	Atg16l2	unannotated	68	133	0.3383084577114428	0	195	0.0	-0.3383084577114428	inf	1.1799603951562138e-23	7.686130907337005e-21	Yes	0.0	0.0	0.6296296296296297	0.0	0.0	0.0	0.42264973081037416
AFE_8590	AFE@chr19@6979177-6980394@6979177-6979314	chr19:6980394-6980501	chr19:6979314-6980393	chr19:6979177-6980394	chr19:6979177-6979314	-	ENSMUSG00000056629	Fkbp2	annotated	200	57	0.7782101167315175	126	211	0.37388724035608306	-0.40432287637543446	5.875800612642718	2.2033673780439358e-23	1.2917241253782575e-20	Yes	0.6106194690265486	0.8859649122807017	1.0	0.3673469387755102	0.35064935064935066	0.39823008849557523	0.05576874331078064
