event_id	pos_id	exon_a	exon_b	exon_c	intron_a	strand	gene_id	gene_name	label	ref_junction_a	ref_junction_a_start	ref_junction_a_end	ref_PSI	alt_junction_a	alt_junction_a_start	alt_junction_a_end	alt_PSI	dPSI	OR_junction_a_start	p_junction_a_start	OR_junction_a_end	p_junction_a_end	p_maximum	q	Diff events	WT_F_1_PSI	WT_F_2_PSI	WT_F_3_PSI	KO_F_1_PSI	KO_M_3_PSI	KO_M_4_PSI	p_ttest
RI_2267	RI@chr16@20402334-20404566	chr16:20399806-20402334	chr16:20404566-20404713	chr16:20399806-20404713	chr16:20402334-20404566	-	ENSMUSG00000022822	Abcc5	unannotated	1295	1239	978	0.4612024131474932	384	1576	1487	0.7995301487862176	0.3383277356387244	4.289665725047081	3.544929144144792e-108	5.1275588999659165	6.720868614791832e-130	3.544929144144792e-108	2.6104858217482254e-104	Yes	0.5662862159789289	0.617579908675799	0.255741127348643	0.739329268292683	0.786142001710864	0.8696296296296296	0.09397343882882159
RI_8315	RI@chrX@155214134-155215601	chrX:155214033-155214134	chrX:155215601-155215684	chrX:155214033-155215684	chrX:155214134-155215601	-	ENSMUSG00000025283	Sat1	unannotated	10058	12020	12967	0.5539986253686008	5817	10869	11378	0.6566217053805968	0.10262308001199605	1.5634992907643184	2.633065715351953e-100	1.5171865572886325	1.856539807658035e-89	1.856539807658035e-89	4.5571863811979236e-86	Yes	0.6019531907728574	0.6329694864797817	0.4462312145488568	0.6282288722097671	0.6932870370370371	0.6549192364170338	0.22484870310456842
RI_8093	RI@chr9@50576705-50577761	chr9:50576694-50576705	chr9:50577761-50577892	chr9:50576694-50577892	chr9:50576705-50577761	+	ENSMUSG00000039217	Il18	unannotated	8915	2548	4972	0.29664694280078896	5807	2962	5385	0.41816542257401934	0.12151847977323038	1.7846586118253318	3.653155137136677e-74	1.6627390985523756	3.4991445726132085e-86	3.653155137136677e-74	6.725458607468622e-71	Yes	0.28012820512820513	0.35217903415783275	0.24478816408876933	0.3732202362920327	0.445900411830775	0.4366970188349757	0.03633929712310838
RI_918	RI@chr11@78180997-78181154	chr11:78180935-78180997	chr11:78181154-78181223	chr11:78180935-78181223	chr11:78180997-78181154	-	ENSMUSG00000058546	Rpl23a	annotated	11524	2609	5285	0.2551224872341801	5968	2408	4919	0.3803665057363858	0.12524401850220573	1.7822016385845243	2.0523755468839137e-70	1.7972407871942697	8.80868801346658e-118	2.0523755468839137e-70	3.022738705450628e-67	Yes	0.2826038159371493	0.3403249023236685	0.16788558426783684	0.39878542510121456	0.32937365010799136	0.4033279340303343	0.1406374430138903
RI_2559	RI@chr17@25265228-25268541	chr17:25265119-25265228	chr17:25268541-25268613	chr17:25265119-25268613	chr17:25265228-25268541	-	ENSMUSG00000015120	Ube2i	unannotated	4931	578	366	0.08735887469924117	2730	911	619	0.21888412017167383	0.13152524547243266	2.8468389165621	3.3410265877864006e-74	3.0547939310234393	2.1083530204094422e-59	2.1083530204094422e-59	2.5876519403825224e-56	Yes	0.09399773499433749	0.1089974293059126	0.0635106632294352	0.2229299363057325	0.1714785651793526	0.2609621115368242	0.021286486770604757
RI_8485	RI@chrX@8143947-8144573	chrX:8143848-8143947	chrX:8144573-8144679	chrX:8143848-8144679	chrX:8143947-8144573	-	ENSMUSG00000031167	Rbm3	annotated	5333	1583	801	0.18268199233716476	2471	1570	862	0.3298074315161378	0.14712543917897303	2.1405115511762087	1.4176863150441923e-69	2.3225955414897705	4.981185249804594e-53	4.981185249804594e-53	4.585181022445129e-50	Yes	0.1781045751633987	0.2920353982300885	0.12498181289102284	0.2921947965310207	0.2819753086419753	0.4189706507868992	0.11605909918209897
RI_7845	RI@chr9@110256301-110262060	chr9:110256145-110256301	chr9:110262060-110262576	chr9:110256145-110262576	chr9:110256301-110262060	+	ENSMUSG00000032482	Cspg5	unannotated	2827	726	854	0.2184130494885264	2095	1401	1345	0.39590542099192616	0.17749237150339975	2.604013885875461	7.345483325624615e-73	2.1252312576503662	7.295163966270361e-48	7.295163966270361e-48	5.637627550845732e-45	Yes	0.2132747681795998	0.3712374581939799	0.057738572574178026	0.37560122431132487	0.49515816655907036	0.36129032258064514	0.14906907045939416
RI_1472	RI@chr13@73940297-73940646	chr13:73940237-73940297	chr13:73940646-73940790	chr13:73940237-73940790	chr13:73940297-73940646	+	ENSMUSG00000057649	Brd9	unannotated	785	228	214	0.21968190854870775	359	428	403	0.5364751452550033	0.31679323670629556	4.104725602306602	3.0803040060809075e-44	4.117811678338063	6.065292560009094e-43	6.065292560009094e-43	3.7220678676589145e-40	Yes	0.29979035639413	0.2830188679245283	0.12293144208037825	0.5792207792207792	0.43656716417910446	0.5955414012738853	0.016664196481388144
RI_1516	RI@chr14@121243608-121255408	chr14:121243353-121243608	chr14:121255408-121255595	chr14:121243353-121255595	chr14:121243608-121255408	+	ENSMUSG00000025555	Farp1	unannotated	984	795	995	0.47631718999467804	450	1233	1154	0.7261940979616672	0.2498769079669892	3.3913962264150945	3.197075782026981e-66	2.5360938023450585	3.902898332210614e-40	3.902898332210614e-40	1.916062887893264e-37	Yes	0.36109008327024983	0.5394896719319563	0.5372945638432364	0.7087378640776699	0.8197747183979975	0.6837060702875399	0.02796255057179629
RI_3522	RI@chr19@8726102-8726239	chr19:8726067-8726102	chr19:8726239-8726443	chr19:8726067-8726443	chr19:8726102-8726239	+	ENSMUSG00000108414	Snhg1	annotated	2405	198	312	0.09586466165413533	1336	382	457	0.23896325833095983	0.1430985966768245	3.473016089034053	2.0159718659866848e-42	2.636757734530938	1.3869708542856287e-33	1.3869708542856287e-33	5.106826685479685e-31	Yes	0.12449799196787148	0.1393188854489164	0.06288178224937119	0.2804986642920748	0.2041392285983067	0.23169811320754716	0.01599330341117596
